City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bluff,NZ,2021-01-17 02:17:16,-46.6,168.3333,58.48,81,100,15.68
68,Cubuk,TR,2021-01-17 02:17:16,40.2386,33.0322,30.99,93,90,2.3
69,Nelson Bay,AU,2021-01-17 02:17:16,-32.7167,152.15,77.0,38,3,13.8
70,Airai,TL,2021-01-17 02:17:16,-8.9266,125.4092,66.09,100,98,0.92
71,Pitimbu,BR,2021-01-17 02:17:16,-7.4706,-34.8086,77.0,83,20,4.61
72,Road Town,VG,2021-01-17 02:17:16,18.4167,-64.6167,77.0,78,40,6.91
73,Guerrero Negro,MX,2021-01-17 02:17:17,27.9769,-114.0611,64.81,46,0,10.4
74,Provideniya,RU,2021-01-17 02:17:17,64.3833,-173.3,-0.4,65,75,13.42
75,Longkou,CN,2021-01-17 02:17:17,37.6508,120.3286,27.63,82,0,16.51
76,Xuddur,SO,2021-01-17 02:17:17,4.1213,43.8894,66.56,91,1,13.8
77,Varna,BG,2021-01-17 02:17:17,43.2167,27.9167,23.0,68,0,4.61
78,Mandan,US,2021-01-17 02:14:44,46.8267,-100.8896,33.8,69,75,12.66
79,Punta Arenas,CL,2021-01-17 02:17:17,-53.15,-70.9167,51.8,76,0,14.97
80,Butaritari,KI,2021-01-17 02:17:17,3.0707,172.7902,81.18,74,73,19.17
81,Feldkirchen An Der Donau,AT,2021-01-17 02:17:17,48.3452,14.0513,26.01,80,75,6.91
82,Mount Gambier,AU,2021-01-17 02:17:17,-37.8333,140.7667,68.0,42,0,10.36
83,Georgetown,MY,2021-01-17 02:15:07,5.4112,100.3354,80.6,83,20,2.3
84,Bethel,US,2021-01-17 02:17:17,41.3712,-73.414,35.6,64,1,8.05
85,Constitucion,CL,2021-01-17 02:17:17,-35.3333,-72.4167,59.16,70,0,14.12
86,Najran,SA,2021-01-17 02:17:17,17.4924,44.1277,51.8,40,0,2.44
87,Jamestown,US,2021-01-17 02:13:04,42.097,-79.2353,30.0,86,90,18.41
88,Mount Isa,AU,2021-01-17 02:17:17,-20.7333,139.5,96.8,14,0,11.5
89,Riyadh,SA,2021-01-17 02:17:18,24.6877,46.7219,59.0,47,0,4.61
90,Nantucket,US,2021-01-17 02:16:40,41.2835,-70.0995,42.8,93,40,12.66
