City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Macklin,CA,52.3334,-109.9348,24.8,86,99,8.05,light snow
81,Albany,US,42.6001,-73.9662,39.0,67,97,14.56,overcast clouds
82,Ballina,AU,-28.8667,153.5667,69.8,88,90,3.27,overcast clouds
83,Vaini,TO,-21.2,-175.2,78.8,94,40,4.61,light rain
84,San Cristobal,VE,7.7669,-72.225,84.2,61,40,8.05,scattered clouds
85,Cotonou,BJ,6.3654,2.4183,86.0,74,20,10.36,few clouds
86,Lucea,JM,18.451,-78.1736,82.99,74,20,14.97,few clouds
87,Nikolskoye,RU,59.7035,30.7861,19.4,93,90,4.47,snow
88,Vila,PT,42.0304,-8.1588,52.0,67,26,10.0,scattered clouds
89,Lancaster,US,40.2504,-76.2499,44.6,49,75,19.57,broken clouds
90,Coro,VE,11.4045,-69.6734,83.03,64,17,16.82,few clouds
91,Alberdi,AR,-32.8899,-60.6906,86.0,34,0,19.57,clear sky
92,Beisfjord,NO,68.3751,17.5988,19.4,93,0,3.67,clear sky
93,Podosinovets,RU,60.2776,47.0659,-9.81,89,42,3.53,scattered clouds
94,Kapaa,US,22.0752,-159.319,73.4,88,40,6.91,scattered clouds
95,Guerrero Negro,MX,27.9769,-114.0611,71.08,31,0,1.66,clear sky
96,Severo-Kurilsk,RU,50.6789,156.125,22.3,90,94,37.58,overcast clouds
97,Kemijarvi,FI,66.7131,27.4306,12.96,96,78,4.76,broken clouds
98,Souillac,MU,-20.5167,57.5167,80.6,83,40,11.5,scattered clouds
99,Khatanga,RU,71.9667,102.5,-24.3,81,0,13.09,clear sky
100,Roswell,US,34.0232,-84.3616,46.99,49,75,16.11,broken clouds
101,Rosarito,MX,32.3333,-117.0333,80.6,12,1,3.44,clear sky
102,Puerto Montt,CL,-41.4698,-72.9447,66.2,63,75,13.8,broken clouds
103,Chuy,UY,-33.6971,-53.4616,74.62,62,82,10.69,broken clouds
104,Hobart,AU,-42.8794,147.3294,60.8,59,90,12.66,overcast clouds
105,Hongjiang,CN,27.11,109.9956,38.5,75,12,1.79,few clouds
106,Touros,BR,-5.1989,-35.4608,86.0,62,40,20.71,scattered clouds
107,Kruisfontein,ZA,-34.0033,24.7314,70.0,76,52,5.01,broken clouds
108,Cairns,AU,-16.9167,145.7667,75.2,94,40,13.8,light rain
109,Tomatlan,MX,19.9333,-105.25,87.66,28,21,6.58,few clouds
110,Harare,ZW,-17.8294,31.0539,69.01,87,100,5.01,moderate rain
111,Santa Maria,BR,-29.6842,-53.8069,85.77,51,86,14.32,overcast clouds
112,Camiri,BO,-20.05,-63.5167,69.8,78,90,4.61,overcast clouds
113,La Romana,DO,18.4273,-68.9728,84.2,61,40,13.8,scattered clouds
114,Saint George,US,37.1041,-113.5841,39.2,45,1,1.19,clear sky
115,Caravelas,BR,-17.7125,-39.2481,83.05,60,49,9.91,scattered clouds
116,Leningradskiy,RU,69.3833,178.4167,-23.82,85,62,5.91,broken clouds
117,Sande,DE,53.5049,8.0142,33.01,100,100,4.61,overcast clouds
118,Poum,NC,-20.2333,164.0167,81.5,83,100,10.74,light rain
119,Bengkulu,ID,-3.8004,102.2655,76.62,82,96,4.34,overcast clouds
120,La Ronge,CA,55.1001,-105.2842,3.2,78,99,8.05,overcast clouds
121,Maple Creek,CA,49.9168,-109.4848,33.8,60,99,5.82,overcast clouds
122,Thompson,CA,55.7435,-97.8558,-14.8,76,75,4.61,broken clouds
123,Rexburg,US,43.826,-111.7897,24.8,100,90,1.36,mist
124,Hay River,CA,60.8156,-115.7999,1.4,85,90,4.27,fog
125,Hervey Bay,AU,-25.2986,152.8535,75.99,83,72,3.0,light rain
126,Katghora,IN,22.5,82.55,55.15,36,0,4.36,clear sky
127,Fairbanks,US,64.8378,-147.7164,10.4,85,75,1.9,broken clouds
128,Kismayo,SO,-0.3582,42.5454,77.7,82,62,15.86,broken clouds
129,Talara,PE,-4.5772,-81.2719,86.0,54,0,13.8,clear sky
130,Jardim,BR,-21.4803,-56.1381,80.17,86,99,8.5,overcast clouds
131,Namatanai,PG,-3.6667,152.4333,79.83,81,50,10.16,light rain
132,Lavrentiya,RU,65.5833,-171.0,-9.76,83,97,10.98,overcast clouds
133,Bubaque,GW,11.2833,-15.8333,78.21,56,65,6.62,broken clouds
134,Codajas,BR,-3.8367,-62.0569,85.84,75,70,3.78,light rain
135,Constitucion,CL,-35.3333,-72.4167,72.1,42,1,17.92,clear sky
136,Sangin,AF,32.0728,64.8359,52.29,38,0,5.44,clear sky
137,College,US,64.8569,-147.8028,10.4,72,90,2.71,overcast clouds
138,Hualmay,PE,-11.0964,-77.6139,76.08,66,42,13.89,scattered clouds
139,Aleksandrov Gay,RU,50.147,48.5704,2.41,93,99,7.09,overcast clouds
140,Florianopolis,BR,-27.6146,-48.5012,89.6,62,20,11.5,few clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,66.0,72,75,14.97,broken clouds
142,Novikovo,RU,51.1537,37.8879,-0.51,91,100,4.27,overcast clouds
143,Shaoguan,CN,24.8,113.5833,40.86,62,27,1.74,scattered clouds
144,Comodoro Rivadavia,AR,-45.8667,-67.5,77.0,36,0,12.66,clear sky
145,Bichura,RU,50.5881,107.6022,-1.84,88,99,2.35,overcast clouds
146,Plettenberg Bay,ZA,-34.0527,23.3716,66.79,85,12,10.04,few clouds
147,Qaanaaq,GL,77.484,-69.3632,-1.44,76,0,5.7,clear sky
148,Naantali,FI,60.4674,22.0243,14.0,92,90,3.44,mist
149,Te Anau,NZ,-45.4167,167.7167,44.04,82,67,5.26,broken clouds
150,Vardo,NO,70.3705,31.1107,33.8,86,40,16.11,light snow
151,Pevek,RU,69.7008,170.3133,-27.9,87,49,3.0,scattered clouds
152,Qandala,SO,11.472,49.8728,75.67,63,5,4.07,clear sky
153,Kalabo,ZM,-14.97,22.6814,74.08,66,97,2.01,overcast clouds
154,Mareeba,AU,-17.0,145.4333,75.2,94,40,13.8,light rain
155,Srednekolymsk,RU,67.45,153.6833,-40.67,81,45,2.68,scattered clouds
156,Portland,US,45.5234,-122.6762,46.99,93,90,3.44,light intensity drizzle
157,Goderich,CA,43.7501,-81.7165,33.8,86,100,9.22,light snow
158,Yellowknife,CA,62.456,-114.3525,-2.0,78,90,4.61,light snow
159,Ilo,PE,-17.6394,-71.3375,73.13,68,78,6.44,broken clouds
160,Bendigo,AU,-36.7667,144.2833,52.0,43,0,6.4,clear sky
161,Xuddur,SO,4.1213,43.8894,80.89,26,54,10.78,broken clouds
162,Ardakan,IR,32.31,54.0175,51.8,46,20,2.3,few clouds
163,Roma,US,43.2128,-75.4557,34.0,86,90,16.11,snow
164,Port Blair,IN,11.6667,92.75,79.36,79,59,16.13,broken clouds
