City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Zaria,NG,76.15,clear sky,11.1113,7.7227,A.B.U Hotels
633,Sorong,ID,78.96,overcast clouds,-0.8833,131.25,The Waigo Hotel
639,Muli,MV,82.2,clear sky,2.9167,73.5667,Medhufushi Island Resort
640,Bitung,ID,78.8,light rain,1.4451,125.1824,K2 Lembeh
643,Nosy Varika,MG,80.58,overcast clouds,-20.5833,48.5333,Hotel Volazara
644,Waingapu,ID,78.96,light rain,-9.6567,120.2641,Pondok Wisata Elim
648,Champerico,GT,86.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
650,Kourou,GF,86.0,broken clouds,5.1552,-52.6478,Lodge Takini 4
661,Catamarca,AR,81.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
666,Pekan,MY,75.2,few clouds,3.4836,103.3996,Pekan Budget Hotel
670,Benguela,AO,77.11,clear sky,-12.5763,13.4055,Hotel Praia Morena
672,Thinadhoo,MV,82.6,overcast clouds,0.5333,72.9333,
675,Mount Isa,AU,82.4,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
681,Manokwari,ID,78.76,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
683,Kuala Terengganu,MY,78.8,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
684,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
686,Manta,EC,82.4,few clouds,-0.95,-80.7333,Balandra Hotel
688,Maradi,NE,89.6,clear sky,13.5,7.1017,Hôtel Le National
696,Palau,PW,75.2,light rain,7.502999999999999,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
697,Manali,IN,77.0,mist,13.1667,80.2667,Sarathy Lodge
702,Bulungu,CD,78.75,overcast clouds,-4.55,18.6,
708,Mogadishu,SO,77.18,few clouds,2.0371,45.3438,Hotel Juba
